Maggi_Packets,Masala_Sachets,Water_ml,Onions_g,ChilliPowder_tbsp,Turmeric_tbsp,Salt_tbsp,CookingTime_min,TasteScore
55,71.5,12394,1661,24.20,12.10,23.10,112,35
55,33.0,12451,1647,9.90,4.95,9.35,107,31
55,121.0,12461,1668,26.40,13.20,25.30,113,27
60,90.0,13512,1808,15.00,7.50,14.40,120,98
60,108.0,13517,1812,16.20,8.10,15.60,121,97
60,72.0,13522,1805,14.40,7.20,13.80,119,96
60,96.0,13507,1810,15.60,7.80,15.00,120,95
60,60.0,13537,1802,13.20,6.60,12.60,119,93
60,84.0,13532,1807,15.00,7.50,14.40,120,91
60,48.0,13557,1800,12.00,6.00,11.40,117,85
60,78.0,13520,1811,26.40,13.20,25.20,121,34
60,36.0,13577,1797,10.80,5.40,10.20,116,30
60,132.0,13587,1818,28.80,14.40,27.60,122,26
65,97.5,14638,1958,16.25,8.13,15.60,129,98
65,117.0,14643,1962,17.55,8.78,16.90,130,97
65,78.0,14648,1955,15.60,7.80,14.95,128,96
65,104.0,14633,1960,16.90,8.45,16.25,129,95
65,65.0,14663,1952,14.30,7.15,13.65,128,93
65,91.0,14658,1957,16.25,8.13,15.60,129,91
65,52.0,14683,1950,13.00,6.50,12.35,126,85
65,84.5,14646,1961,28.60,14.30,27.30,130,33
65,39.0,14703,1947,11.70,5.85,11.05,125,29
65,143.0,14713,1968,31.20,15.60,29.90,131,25
70,105.0,15764,2108,17.50,8.75,16.80,138,98
70,126.0,15769,2112,18.90,9.45,18.20,139,97
70,84.0,15774,2105,16.80,8.40,16.10,137,96
70,112.0,15759,2110,18.20,9.10,17.50,138,95
70,70.0,15789,2102,15.40,7.70,14.70,137,93
70,98.0,15784,2107,17.50,8.75,16.80,138,91
70,56.0,15809,2100,14.00,7.00,13.30,135,85
70,91.0,15772,2111,30.80,15.40,29.40,139,32
70,42.0,15829,2097,12.60,6.30,11.90,134,28
70,154.0,15839,2118,33.60,16.80,32.20,140,24
75,112.5,16890,2258,18.75,9.38,18.00,147,98
75,135.0,16895,2262,20.25,10.13,19.50,148,97
75,90.0,16900,2255,18.00,9.00,17.25,146,96
75,120.0,16885,2260,19.50,9.75,18.75,147,95
75,75.0,16915,2252,16.50,8.25,15.75,146,93
75,105.0,16910,2257,18.75,9.38,18.00,147,91
75,60.0,16935,2250,15.00,7.50,14.25,144,85
75,97.5,16898,2261,33.00,16.50,31.50,148,31
75,45.0,16955,2247,13.50,6.75,12.75,143,27
75,165.0,16965,2268,36.00,18.00,34.50,149,23
80,120.0,18016,2408,20.00,10.00,19.20,156,98
80,144.0,18021,2412,21.60,10.80,20.80,157,97
80,96.0,18026,2405,19.20,9.60,18.40,155,96
80,128.0,18011,2410,20.80,10.40,20.00,156,95
80,80.0,18041,2402,17.60,8.80,16.80,155,93
80,112.0,18036,2407,20.00,10.00,19.20,156,91
80,64.0,18061,2400,16.00,8.00,15.20,153,85
80,104.0,18024,2411,35.20,17.60,33.60,157,30
80,48.0,18081,2397,14.40,7.20,13.60,152,26
80,176.0,18091,2418,38.40,19.20,36.80,158,22
85,127.5,19142,2558,21.25,10.63,20.40,165,98
85,153.0,19147,2562,22.95,11.48,22.10,166,97
85,102.0,19152,2555,20.40,10.20,19.55,164,96
85,136.0,19137,2560,22.10,11.05,21.25,165,95
85,85.0,19167,2552,18.70,9.35,17.85,164,93
85,119.0,19162,2557,21.25,10.63,20.40,165,91
85,68.0,19187,2550,17.00,8.50,16.15,162,85
85,110.5,19150,2561,37.40,18.70,35.70,166,29
85,51.0,19207,2547,15.30,7.65,14.45,161,25
85,187.0,19217,2568,40.80,20.40,39.10,167,21
90,135.0,20268,2708,22.50,11.25,21.60,174,98
90,162.0,20273,2712,24.30,12.15,23.40,175,97
90,108.0,20278,2705,21.60,10.80,20.70,173,96
90,144.0,20263,2710,23.40,11.70,22.50,174,95
90,90.0,20293,2702,19.80,9.90,18.90,173,93
90,126.0,20288,2707,22.50,11.25,21.60,174,91
90,72.0,20313,2700,18.00,9.00,17.10,171,85
90,117.0,20276,2711,39.60,19.80,37.80,175,28
90,54.0,20333,2697,16.20,8.10,15.30,170,24
90,198.0,20343,2718,43.20,21.60,41.40,176,20
95,142.5,21394,2858,23.75,11.88,22.80,183,98
95,171.0,21399,2862,25.65,12.83,24.70,184,97
95,114.0,21404,2855,22.80,11.40,21.85,182,96
95,152.0,21389,2860,24.70,12.35,23.75,183,95
95,95.0,21419,2852,20.90,10.45,19.95,182,93
95,133.0,21414,2857,23.75,11.88,22.80,183,91
95,76.0,21439,2850,19.00,9.50,18.05,180,85
95,123.5,21402,2861,41.80,20.90,39.90,184,27
95,57.0,21459,2847,17.10,8.55,16.15,179,23
95,209.0,21469,2868,45.60,22.80,43.70,185,19
100,150.0,22520,3008,25.00,12.50,24.00,192,98
100,180.0,22525,3012,27.00,13.50,26.00,193,97
100,120.0,22530,3005,24.00,12.00,23.00,191,96
100,160.0,22515,3010,26.00,13.00,25.00,192,95
100,100.0,22545,3002,22.00,11.00,21.00,191,93
100,140.0,22540,3007,25.00,12.50,24.00,192,91
100,80.0,22565,3000,20.00,10.00,19.00,189,85
100,130.0,22528,3011,44.00,22.00,42.00,193,26
100,60.0,22585,2997,18.00,9.00,17.00,188,22
100,220.0,22595,3018,48.00,24.00,46.00,194,18
